feature,coefficient,abs_coefficient
automated_readability_index,14.089698684916476,14.089698684916476
flesch_kincaid_grade,-8.645082459404327,8.645082459404327
avg_word_length,-6.068347583034236,6.068347583034236
flesch_reading_ease,-4.673959099763623,4.673959099763623
ttr,-4.368170640212689,4.368170640212689
gunning_fog,-2.9116300565442734,2.9116300565442734
sent_count,-2.25145844097494,2.25145844097494
word_count,-2.205600518218412,2.205600518218412
smog_index,1.731453861859259,1.731453861859259
char_count,0.9514661012158716,0.9514661012158716
avg_sent_length,-0.5112748839469642,0.5112748839469642
mtld,0.5061622643306193,0.5061622643306193
punctuation_density,-0.20380748292189815,0.20380748292189815
